,cpu1,cpu2,gpu1,gpu2,model,precision,alpha,similarity
0,484.41317999999995,2095.979104,,,large,single,0.1,Tfunction
1,18135.194635,55041.716655,,,large,single,0.1,euclidean
2,18100.732981999998,57511.277608000004,,,large,single,0.1,squaredeuclidean
3,18366.282134999998,61235.844069000006,,,large,single,0.1,seuclidean
4,18150.387805000002,55646.867839,,,large,single,0.1,cityblock
5,18233.923098,53117.536403,,,large,single,0.1,chebychev
6,4504.9395939999995,24872.995318,,,large,single,0.1,cosine
7,4670.868398,26730.87565,,,large,single,0.1,correlation
8,291.736692,1170.5770400000001,,,large,single,0.2,Tfunction
9,8768.466531,34381.773683,,,large,single,0.2,euclidean
10,8768.073155,32352.212074000003,,,large,single,0.2,squaredeuclidean
11,8887.081619,28872.640728,,,large,single,0.2,seuclidean
12,8772.441126,26962.715027,,,large,single,0.2,cityblock
13,8817.815233,27648.099931,,,large,single,0.2,chebychev
14,2141.220744,11628.373093,,,large,single,0.2,cosine
15,2244.385005,12418.657723,,,large,single,0.2,correlation
16,182.814128,814.18848,,,large,single,0.3,Tfunction
17,5641.459819,21960.558684,,,large,single,0.3,euclidean
18,5628.371367,22191.635,,,large,single,0.3,squaredeuclidean
19,5698.374474,19228.041237999998,,,large,single,0.3,seuclidean
20,5640.865737,21201.394545,,,large,single,0.3,cityblock
21,5663.350808,21538.571505,,,large,single,0.3,chebychev
22,1403.317013,7224.820256,,,large,single,0.3,cosine
23,1436.077404,7624.285927,,,large,single,0.3,correlation
24,959.8744140000001,4910.645168999999,,,large,double,0.1,Tfunction
25,25297.544399000002,141650.95833599998,,,large,double,0.1,euclidean
26,25303.547898,0.0,,,large,double,0.1,squaredeuclidean
27,26026.693021,0.0,,,large,double,0.1,seuclidean
28,25415.656391999997,0.0,,,large,double,0.1,cityblock
29,25621.947591,0.0,,,large,double,0.1,chebychev
30,8824.216058,0.0,,,large,double,0.1,cosine
31,9241.520808,0.0,,,large,double,0.1,correlation
32,494.835204,0.0,,,large,double,0.2,Tfunction
33,12224.516448,0.0,,,large,double,0.2,euclidean
34,12243.157073,0.0,,,large,double,0.2,squaredeuclidean
35,12646.594104,0.0,,,large,double,0.2,seuclidean
36,12302.7877,0.0,,,large,double,0.2,cityblock
37,12478.074586,0.0,,,large,double,0.2,chebychev
38,4448.487698,0.0,,,large,double,0.2,cosine
39,4483.418343,0.0,,,large,double,0.2,correlation
40,334.843258,0.0,,,large,double,0.3,Tfunction
41,7906.764037000001,0.0,,,large,double,0.3,euclidean
42,7901.7125989999995,0.0,,,large,double,0.3,squaredeuclidean
43,8129.429091,0.0,,,large,double,0.3,seuclidean
44,7881.266390999999,0.0,,,large,double,0.3,cityblock
45,7962.953956,0.0,,,large,double,0.3,chebychev
46,2728.52556,0.0,,,large,double,0.3,cosine
47,2864.4237,0.0,,,large,double,0.3,correlation
48,134.204606,386.37672599999996,14.600945999999999,,medium,single,0.1,Tfunction
49,3346.243661,7647.977684,418.119826,,medium,single,0.1,euclidean
50,3308.6534469999997,7577.542867,430.78753499999993,,medium,single,0.1,squaredeuclidean
51,3324.2085420000003,7600.760676000001,428.13636799999995,,medium,single,0.1,seuclidean
52,3367.826164,7753.6033290000005,417.564683,,medium,single,0.1,cityblock
53,3344.738862,7369.587292,411.824197,,medium,single,0.1,chebychev
54,1017.178462,5603.379059000001,364.62148199999996,,medium,single,0.1,cosine
55,1056.133486,5763.36355,1174.7665,,medium,single,0.1,correlation
56,73.926232,198.61734199999998,9.04048,,medium,single,0.2,Tfunction
57,1595.839958,4376.041636,198.654368,,medium,single,0.2,euclidean
58,1616.1572800000001,4348.007829,198.76578500000002,,medium,single,0.2,squaredeuclidean
59,1584.010373,4428.67436,202.150156,,medium,single,0.2,seuclidean
60,1650.454908,4475.190908,204.432498,,medium,single,0.2,cityblock
61,1618.157677,4348.673396,198.324916,,medium,single,0.2,chebychev
62,489.440722,2777.7250510000003,175.269592,,medium,single,0.2,cosine
63,489.61798899999997,2716.228413,557.176457,,medium,single,0.2,correlation
64,53.029222,148.446676,7.590414999999999,,medium,single,0.3,Tfunction
65,1043.571553,2892.1366510000003,129.687294,,medium,single,0.3,euclidean
66,996.622743,2201.1423600000003,124.002315,,medium,single,0.3,squaredeuclidean
67,1015.1912380000001,2290.0063059999998,129.550409,,medium,single,0.3,seuclidean
68,1047.120909,2888.530141,130.046008,,medium,single,0.3,cityblock
69,1059.1280550000001,2846.628544,129.909404,,medium,single,0.3,chebychev
70,311.683027,1663.3553,112.466466,,medium,single,0.3,cosine
71,313.308472,1760.581557,354.25347400000004,,medium,single,0.3,correlation
72,247.50997999999998,786.7069230000001,,,medium,double,0.1,Tfunction
73,4474.471608,22693.370113999998,,,medium,double,0.1,euclidean
74,4423.163219,22325.181528,,,medium,double,0.1,squaredeuclidean
75,4536.694876,22396.089738,,,medium,double,0.1,seuclidean
76,4515.215986,22510.91962,,,medium,double,0.1,cityblock
77,4486.55864,21906.773615000002,,,medium,double,0.1,chebychev
78,2019.72155,9377.778639,,,medium,double,0.1,cosine
79,2018.253425,9647.11425,,,medium,double,0.1,correlation
80,130.25575600000002,421.46145700000005,,,medium,double,0.2,Tfunction
81,2144.005087,10061.667029,,,medium,double,0.2,euclidean
82,2144.7769829999997,10192.251198,,,medium,double,0.2,squaredeuclidean
83,2166.2908780000002,10296.900646,,,medium,double,0.2,seuclidean
84,2207.755818,10719.190599,,,medium,double,0.2,cityblock
85,2173.366818,10664.125786,,,medium,double,0.2,chebychev
86,966.7880460000001,4493.638221,,,medium,double,0.2,cosine
87,959.203422,4440.782461,,,medium,double,0.2,correlation
88,95.421871,308.20440099999996,,,medium,double,0.3,Tfunction
89,1424.201821,6929.7018689999995,,,medium,double,0.3,euclidean
90,1330.435728,5905.1943630000005,,,medium,double,0.3,squaredeuclidean
91,1385.319134,6291.470961999999,,,medium,double,0.3,seuclidean
92,1394.530843,6321.880515,,,medium,double,0.3,cityblock
93,1427.0803970000002,6655.508554999999,,,medium,double,0.3,chebychev
94,637.419275,2804.621981,,,medium,double,0.3,cosine
95,608.583965,2846.132727,,,medium,double,0.3,correlation
96,0.40186,1.857273,2.4012759999999997,0.720859,small,single,0.1,Tfunction
97,7.047344,11.730725,2.5960259999999997,1.620493,small,single,0.1,euclidean
98,6.9120029999999995,11.598092999999999,2.64695,1.5341879999999999,small,single,0.1,squaredeuclidean
