runtime,model,precision,alpha,similarity,stdruntime
485.287402,large,single,0.1,Tfunction,4.19380925679232
18367.258889,large,single,0.1,euclidean,6.3528955087445
18368.958075,large,single,0.1,squaredeuclidean,8.98203740114566
19295.3567863333,large,single,0.1,seuclidean,1.62982105381455
18523.977358,large,single,0.1,cityblock,2.70787541787988
18548.4433006667,large,single,0.1,chebychev,8.48683807459788
4367.14792633333,large,single,0.1,cosine,6.11909421908104
4536.800456,large,single,0.1,correlation,0.677426200317483
260.090527333333,large,single,0.2,Tfunction,0.0532549287234007
8889.210137,large,single,0.2,euclidean,6.25970585464708
8881.084457,large,single,0.2,squaredeuclidean,5.46478749261803
9323.91073333333,large,single,0.2,seuclidean,3.44591730603957
8948.94411466667,large,single,0.2,cityblock,2.19436777779323
8964.85969666667,large,single,0.2,chebychev,5.87476359758437
2112.94704233333,large,single,0.2,cosine,1.68951425947898
2197.75318566667,large,single,0.2,correlation,0.57617790568552
182.454471666667,large,single,0.3,Tfunction,1.39367189419975
5716.660844,large,single,0.3,euclidean,2.26971817421736
5712.22534933333,large,single,0.3,squaredeuclidean,3.77442895249704
6000.194012,large,single,0.3,seuclidean,1.67881107846997
5756.143317,large,single,0.3,cityblock,2.85756294799458
5766.31555966667,large,single,0.3,chebychev,3.28959992720701
1334.95985033333,large,single,0.3,cosine,1.38317288826102
1419.131951,large,single,0.3,correlation,2.95551630385421
892.066069,large,double,0.1,Tfunction,0.347955836736548
26441.0359,large,double,0.1,euclidean,25.6786889136221
26442.6559113333,large,double,0.1,squaredeuclidean,22.4118607181057
27699.9497046667,large,double,0.1,seuclidean,35.9135817754475
26566.7860086667,large,double,0.1,cityblock,5.23051899911381
26605.3336733333,large,double,0.1,chebychev,29.0231289539426
8719.519921,large,double,0.1,cosine,1.88169758066593
9054.947433,large,double,0.1,correlation,4.35598824144282
481.788397,large,double,0.2,Tfunction,0.894896383033839
12827.452317,large,double,0.2,euclidean,17.3901437506161
12820.4254283333,large,double,0.2,squaredeuclidean,4.39437267210031
13397.6062706667,large,double,0.2,seuclidean,21.0179413737271
12855.4353863333,large,double,0.2,cityblock,22.5641010749662
12843.131507,large,double,0.2,chebychev,25.2497722798493
4214.766181,large,double,0.2,cosine,1.77358567087983
4382.292795,large,double,0.2,correlation,1.22896889754117
335.507258333333,large,double,0.3,Tfunction,0.0115424738394076
8238.01252,large,double,0.3,euclidean,13.3350495983155
8235.973914,large,double,0.3,squaredeuclidean,11.4000672722112
8623.70433333333,large,double,0.3,seuclidean,15.2340714283664
8276.32635666667,large,double,0.3,cityblock,3.67656125056066
8287.772707,large,double,0.3,chebychev,20.8582343741076
2668.068826,large,double,0.3,cosine,2.24776544835006
2832.15493833333,large,double,0.3,correlation,0.116884641772766
135.118189333333,medium,single,0.1,Tfunction,0.345607237055793
3393.307412,medium,single,0.1,euclidean,0.771584231139875
3345.65332133333,medium,single,0.1,squaredeuclidean,0.0669127462769906
3455.68067266667,medium,single,0.1,seuclidean,0.553771219992695
3414.46118533333,medium,single,0.1,cityblock,0.234444437042768
3385.01297666667,medium,single,0.1,chebychev,2.58699521246377
1020.57768,medium,single,0.1,cosine,0.59418195823165
1038.79609633333,medium,single,0.1,correlation,0.586745172038392
71.9769706666667,medium,single,0.2,Tfunction,0.642779860968224
1618.787762,medium,single,0.2,euclidean,0.228693254216218
1618.075207,medium,single,0.2,squaredeuclidean,0.739776506165896
