runtime,model,precision,alpha,similarity
0.47754283735842,large,single,0.1,Tfunction
0.47754283735842,large,single,0.1,euclidean
0.47754283735842,large,single,0.1,squaredeuclidean
0.47754283735842,large,single,0.1,seuclidean
0.47754283735842,large,single,0.1,cityblock
0.47754283735842,large,single,0.1,chebychev
0.47754283735842,large,single,0.1,cosine
0.47754283735842,large,single,0.1,correlation
21.1414999861056,large,single,0.2,Tfunction
21.1414999861056,large,single,0.2,euclidean
21.1414999861056,large,single,0.2,squaredeuclidean
21.1414999861056,large,single,0.2,seuclidean
21.1414999861056,large,single,0.2,cityblock
21.1414999861056,large,single,0.2,chebychev
21.1414999861056,large,single,0.2,cosine
21.1414999861056,large,single,0.2,correlation
23.2070665972347,large,single,0.3,Tfunction
23.2070665972347,large,single,0.3,euclidean
23.2070665972347,large,single,0.3,squaredeuclidean
23.2070665972347,large,single,0.3,seuclidean
23.2070665972347,large,single,0.3,cityblock
23.2070665972347,large,single,0.3,chebychev
23.2070665972347,large,single,0.3,cosine
23.2070665972347,large,single,0.3,correlation
23.2070665972347,large,double,0.1,Tfunction
23.2070665972347,large,double,0.1,euclidean
23.2070665972347,large,double,0.1,squaredeuclidean
23.2070665972347,large,double,0.1,seuclidean
23.2070665972347,large,double,0.1,cityblock
23.2070665972347,large,double,0.1,chebychev
23.2070665972347,large,double,0.1,cosine
23.2070665972347,large,double,0.1,correlation
23.2070665972347,large,double,0.2,Tfunction
23.2070665972347,large,double,0.2,euclidean
23.2070665972347,large,double,0.2,squaredeuclidean
23.2070665972347,large,double,0.2,seuclidean
23.2070665972347,large,double,0.2,cityblock
23.2070665972347,large,double,0.2,chebychev
23.2070665972347,large,double,0.2,cosine
23.2070665972347,large,double,0.2,correlation
23.2070665972347,large,double,0.3,Tfunction
23.2070665972347,large,double,0.3,euclidean
23.2070665972347,large,double,0.3,squaredeuclidean
23.2070665972347,large,double,0.3,seuclidean
23.2070665972347,large,double,0.3,cityblock
23.2070665972347,large,double,0.3,chebychev
23.2070665972347,large,double,0.3,cosine
23.2070665972347,large,double,0.3,correlation
28.0554071801407,medium,single,0.1,Tfunction
127.280761577665,medium,single,0.1,euclidean
147.209446596964,medium,single,0.1,squaredeuclidean
155.374441681851,medium,single,0.1,seuclidean
156.164148893681,medium,single,0.1,cityblock
154.225583164636,medium,single,0.1,chebychev
149.210066487562,medium,single,0.1,cosine
144.910015854119,medium,single,0.1,correlation
152.173960323368,medium,single,0.2,Tfunction
146.612058654706,medium,single,0.2,euclidean
141.608606186642,medium,single,0.2,squaredeuclidean
137.010557053818,medium,single,0.2,seuclidean
132.81961883387,medium,single,0.2,cityblock
129.053439633136,medium,single,0.2,chebychev
125.878112194746,medium,single,0.2,cosine
122.897422173206,medium,single,0.2,correlation
126.693076407666,medium,single,0.3,Tfunction
124.790478329893,medium,single,0.3,euclidean
122.970068019774,medium,single,0.3,squaredeuclidean
121.054930058835,medium,single,0.3,seuclidean
119.223782368867,medium,single,0.3,cityblock
117.448610702012,medium,single,0.3,chebychev
116.010843431497,medium,single,0.3,cosine
114.57568868321,medium,single,0.3,correlation
115.55742684051,medium,double,0.1,Tfunction
119.906127982754,medium,double,0.1,euclidean
123.226204212403,medium,double,0.1,squaredeuclidean
127.384189430454,medium,double,0.1,seuclidean
129.658455410766,medium,double,0.1,cityblock
131.55312865155,medium,double,0.1,chebychev
131.944945660181,medium,double,0.1,cosine
132.567838438975,medium,double,0.1,correlation
134.290970956505,medium,double,0.2,Tfunction
132.503262655275,medium,double,0.2,euclidean
130.761581347021,medium,double,0.2,squaredeuclidean
129.061421213832,medium,double,0.2,seuclidean
127.436813604468,medium,double,0.2,cityblock
125.877693911487,medium,double,0.2,chebychev
124.447655180616,medium,double,0.2,cosine
123.043865868304,medium,double,0.2,correlation
124.621481842198,medium,double,0.3,Tfunction
123.691133902563,medium,double,0.3,euclidean
122.837868299849,medium,double,0.3,squaredeuclidean
121.862910727305,medium,double,0.3,seuclidean
120.978053844,medium,double,0.3,cityblock
120.083244170228,medium,double,0.3,chebychev
119.352462874984,medium,double,0.3,cosine
118.595381660368,medium,double,0.3,correlation
119.92195832472,small,single,0.1,Tfunction
121.085031744052,small,single,0.1,euclidean
122.112656362997,small,single,0.1,squaredeuclidean
123.011662568371,small,single,0.1,seuclidean
123.808865282828,small,single,0.1,cityblock
