runtime,model,precision,alpha,similarity,stdruntime
85.464199,large,single,0.1,Tfunction,0.404241429530672
NaN,large,single,0.1,euclidean,NaN
NaN,large,single,0.1,squaredeuclidean,NaN
NaN,large,single,0.1,seuclidean,NaN
NaN,large,single,0.1,cityblock,NaN
NaN,large,single,0.1,chebychev,NaN
NaN,large,single,0.1,cosine,NaN
NaN,large,single,0.1,correlation,NaN
47.3990546666667,large,single,0.2,Tfunction,0.0736936698253885
NaN,large,single,0.2,euclidean,NaN
NaN,large,single,0.2,squaredeuclidean,NaN
NaN,large,single,0.2,seuclidean,NaN
NaN,large,single,0.2,cityblock,NaN
NaN,large,single,0.2,chebychev,NaN
NaN,large,single,0.2,cosine,NaN
NaN,large,single,0.2,correlation,NaN
34.2260503333333,large,single,0.3,Tfunction,0.0907891994696148
NaN,large,single,0.3,euclidean,NaN
NaN,large,single,0.3,squaredeuclidean,NaN
NaN,large,single,0.3,seuclidean,NaN
NaN,large,single,0.3,cityblock,NaN
NaN,large,single,0.3,chebychev,NaN
NaN,large,single,0.3,cosine,NaN
NaN,large,single,0.3,correlation,NaN
NaN,large,double,0.1,Tfunction,NaN
NaN,large,double,0.1,euclidean,NaN
NaN,large,double,0.1,squaredeuclidean,NaN
NaN,large,double,0.1,seuclidean,NaN
NaN,large,double,0.1,cityblock,NaN
NaN,large,double,0.1,chebychev,NaN
NaN,large,double,0.1,cosine,NaN
NaN,large,double,0.1,correlation,NaN
NaN,large,double,0.2,Tfunction,NaN
NaN,large,double,0.2,euclidean,NaN
NaN,large,double,0.2,squaredeuclidean,NaN
NaN,large,double,0.2,seuclidean,NaN
NaN,large,double,0.2,cityblock,NaN
NaN,large,double,0.2,chebychev,NaN
NaN,large,double,0.2,cosine,NaN
NaN,large,double,0.2,correlation,NaN
NaN,large,double,0.3,Tfunction,NaN
NaN,large,double,0.3,euclidean,NaN
NaN,large,double,0.3,squaredeuclidean,NaN
NaN,large,double,0.3,seuclidean,NaN
NaN,large,double,0.3,cityblock,NaN
NaN,large,double,0.3,chebychev,NaN
NaN,large,double,0.3,cosine,NaN
NaN,large,double,0.3,correlation,NaN
11.7599216666667,medium,single,0.1,Tfunction,0.050631429056796
345.710890666667,medium,single,0.1,euclidean,1.43857118369073
340.849707666667,medium,single,0.1,squaredeuclidean,0.779336423140444
353.672087,medium,single,0.1,seuclidean,0.0887917277960049
344.470427333333,medium,single,0.1,cityblock,1.26869702567727
340.410617666667,medium,single,0.1,chebychev,1.14579677123709
310.211594333333,medium,single,0.1,cosine,0.230367803202474
318.513588666667,medium,single,0.1,correlation,2.11538832829492
7.23972066666667,medium,single,0.2,Tfunction,0.0497744328378868
164.078781333333,medium,single,0.2,euclidean,0.106738592759751
163.827435,medium,single,0.2,squaredeuclidean,0.522009287668335
167.195853666667,medium,single,0.2,seuclidean,0.0462410967033892
168.519268,medium,single,0.2,cityblock,0.345604592926668
164.214490333333,medium,single,0.2,chebychev,0.0504132314906891
148.815898,medium,single,0.2,cosine,0.379362958625385
149.127383,medium,single,0.2,correlation,0.0774058574204881
5.88168633333333,medium,single,0.3,Tfunction,0.0247526807100428
106.890193,medium,single,0.3,euclidean,0.174585316762321
101.980131333333,medium,single,0.3,squaredeuclidean,0.0537574800593702
107.339433333333,medium,single,0.3,seuclidean,0.181890375540691
106.824805,medium,single,0.3,cityblock,0.184869055279675
106.901412666667,medium,single,0.3,chebychev,0.158880865072967
95.0948196666667,medium,single,0.3,cosine,0.260285150049581
96.1117696666667,medium,single,0.3,correlation,0.811710953452239
21.8180453333333,medium,double,0.1,Tfunction,0.0425904862655202
365.413159666667,medium,double,0.1,euclidean,0.238787353535167
360.813408666667,medium,double,0.1,squaredeuclidean,0.114814345028536
390.328136666667,medium,double,0.1,seuclidean,0.193387250007155
365.712647333333,medium,double,0.1,cityblock,0.236046307036008
366.788290333333,medium,double,0.1,chebychev,0.163999046986048
333.324715333333,medium,double,0.1,cosine,6.94576859788983
348.507415333333,medium,double,0.1,correlation,3.79837730207746
12.959278,medium,double,0.2,Tfunction,0.294004439121248
174.239423666667,medium,double,0.2,euclidean,0.0270023795679852
174.094716666667,medium,double,0.2,squaredeuclidean,0.106998951202027
185.517726,medium,double,0.2,seuclidean,0.111934331520767
178.986467333333,medium,double,0.2,cityblock,0.030800285799542
175.776069,medium,double,0.2,chebychev,3.27192696363412
159.986404,medium,double,0.2,cosine,0.798056966930928
164.702819666667,medium,double,0.2,correlation,2.12534060824008
10.1758056666667,medium,double,0.3,Tfunction,0.0487163479884662
113.847341,medium,double,0.3,euclidean,0.102443629411498
108.888058333333,medium,double,0.3,squaredeuclidean,0.0661717318220819
119.522946,medium,double,0.3,seuclidean,0.101175053748446
113.700397,medium,double,0.3,cityblock,0.0162872766600223
115.663156,medium,double,0.3,chebychev,0.0751035964718042
103.184073333333,medium,double,0.3,cosine,1.84014914020748
105.813584,medium,double,0.3,correlation,0.977241682764301
1.19195266666667,small,single,0.1,Tfunction,0.00899666684574537
1.54762866666667,small,single,0.1,euclidean,0.0271321721639335
