runtime,model,precision,alpha,similarity
NaN,large,single,0.1,Tfunction
NaN,large,single,0.1,euclidean
NaN,large,single,0.1,squaredeuclidean
NaN,large,single,0.1,seuclidean
NaN,large,single,0.1,cityblock
NaN,large,single,0.1,chebychev
NaN,large,single,0.1,cosine
NaN,large,single,0.1,correlation
NaN,large,single,0.2,Tfunction
NaN,large,single,0.2,euclidean
NaN,large,single,0.2,squaredeuclidean
NaN,large,single,0.2,seuclidean
NaN,large,single,0.2,cityblock
NaN,large,single,0.2,chebychev
NaN,large,single,0.2,cosine
NaN,large,single,0.2,correlation
NaN,large,single,0.3,Tfunction
NaN,large,single,0.3,euclidean
NaN,large,single,0.3,squaredeuclidean
NaN,large,single,0.3,seuclidean
NaN,large,single,0.3,cityblock
NaN,large,single,0.3,chebychev
NaN,large,single,0.3,cosine
NaN,large,single,0.3,correlation
NaN,large,double,0.1,Tfunction
NaN,large,double,0.1,euclidean
NaN,large,double,0.1,squaredeuclidean
NaN,large,double,0.1,seuclidean
NaN,large,double,0.1,cityblock
NaN,large,double,0.1,chebychev
NaN,large,double,0.1,cosine
NaN,large,double,0.1,correlation
NaN,large,double,0.2,Tfunction
NaN,large,double,0.2,euclidean
NaN,large,double,0.2,squaredeuclidean
NaN,large,double,0.2,seuclidean
NaN,large,double,0.2,cityblock
NaN,large,double,0.2,chebychev
NaN,large,double,0.2,cosine
NaN,large,double,0.2,correlation
NaN,large,double,0.3,Tfunction
NaN,large,double,0.3,euclidean
NaN,large,double,0.3,squaredeuclidean
NaN,large,double,0.3,seuclidean
NaN,large,double,0.3,cityblock
NaN,large,double,0.3,chebychev
NaN,large,double,0.3,cosine
NaN,large,double,0.3,correlation
14.600946,medium,single,0.1,Tfunction
418.119826,medium,single,0.1,euclidean
430.787535,medium,single,0.1,squaredeuclidean
428.136368,medium,single,0.1,seuclidean
417.564683,medium,single,0.1,cityblock
411.824197,medium,single,0.1,chebychev
364.621482,medium,single,0.1,cosine
1174.7665,medium,single,0.1,correlation
9.04048,medium,single,0.2,Tfunction
198.654368,medium,single,0.2,euclidean
198.765785,medium,single,0.2,squaredeuclidean
202.150156,medium,single,0.2,seuclidean
204.432498,medium,single,0.2,cityblock
198.324916,medium,single,0.2,chebychev
175.269592,medium,single,0.2,cosine
557.176457,medium,single,0.2,correlation
7.590415,medium,single,0.3,Tfunction
129.687294,medium,single,0.3,euclidean
124.002315,medium,single,0.3,squaredeuclidean
129.550409,medium,single,0.3,seuclidean
130.046008,medium,single,0.3,cityblock
129.909404,medium,single,0.3,chebychev
112.466466,medium,single,0.3,cosine
354.253474,medium,single,0.3,correlation
NaN,medium,double,0.1,Tfunction
NaN,medium,double,0.1,euclidean
NaN,medium,double,0.1,squaredeuclidean
NaN,medium,double,0.1,seuclidean
NaN,medium,double,0.1,cityblock
NaN,medium,double,0.1,chebychev
NaN,medium,double,0.1,cosine
NaN,medium,double,0.1,correlation
NaN,medium,double,0.2,Tfunction
NaN,medium,double,0.2,euclidean
NaN,medium,double,0.2,squaredeuclidean
NaN,medium,double,0.2,seuclidean
NaN,medium,double,0.2,cityblock
NaN,medium,double,0.2,chebychev
NaN,medium,double,0.2,cosine
NaN,medium,double,0.2,correlation
NaN,medium,double,0.3,Tfunction
NaN,medium,double,0.3,euclidean
NaN,medium,double,0.3,squaredeuclidean
NaN,medium,double,0.3,seuclidean
NaN,medium,double,0.3,cityblock
NaN,medium,double,0.3,chebychev
NaN,medium,double,0.3,cosine
NaN,medium,double,0.3,correlation
2.401276,small,single,0.1,Tfunction
2.596026,small,single,0.1,euclidean
2.64695,small,single,0.1,squaredeuclidean
3.057416,small,single,0.1,seuclidean
2.646942,small,single,0.1,cityblock
2.670146,small,single,0.1,chebychev
3.163627,small,single,0.1,cosine
3.331526,small,single,0.1,correlation
2.270476,small,single,0.2,Tfunction
2.206698,small,single,0.2,euclidean
2.20702,small,single,0.2,squaredeuclidean
2.398439,small,single,0.2,seuclidean
2.181888,small,single,0.2,cityblock
2.242256,small,single,0.2,chebychev
2.606004,small,single,0.2,cosine
2.6626,small,single,0.2,correlation
2.257306,small,single,0.3,Tfunction
2.069482,small,single,0.3,euclidean
2.054154,small,single,0.3,squaredeuclidean
2.150575,small,single,0.3,seuclidean
2.091178,small,single,0.3,cityblock
2.091322,small,single,0.3,chebychev
2.394923,small,single,0.3,cosine
2.392595,small,single,0.3,correlation
2.342097,small,double,0.1,Tfunction
2.692218,small,double,0.1,euclidean
2.66284,small,double,0.1,squaredeuclidean
3.107928,small,double,0.1,seuclidean
2.682196,small,double,0.1,cityblock
2.6857,small,double,0.1,chebychev
3.080368,small,double,0.1,cosine
3.313352,small,double,0.1,correlation
2.232637,small,double,0.2,Tfunction
2.165322,small,double,0.2,euclidean
2.21239,small,double,0.2,squaredeuclidean
2.454564,small,double,0.2,seuclidean
2.190211,small,double,0.2,cityblock
2.227393,small,double,0.2,chebychev
2.547695,small,double,0.2,cosine
2.614449,small,double,0.2,correlation
2.209011,small,double,0.3,Tfunction
2.029517,small,double,0.3,euclidean
2.062353,small,double,0.3,squaredeuclidean
2.215731,small,double,0.3,seuclidean
2.01425,small,double,0.3,cityblock
2.024395,small,double,0.3,chebychev
2.263067,small,double,0.3,cosine
2.36657,small,double,0.3,correlation
