Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,runtime,model,precision,alpha,similarity
runtime,model,precision,alpha,similarity,2095.979104,large,single,0.1,Tfunction
,,,,,55041.716655,large,single,0.1,euclidean
,,,,,57511.277608,large,single,0.1,squaredeuclidean
,,,,,61235.844069,large,single,0.1,seuclidean
,,,,,55646.867839,large,single,0.1,cityblock
,,,,,53117.536403,large,single,0.1,chebychev
,,,,,24872.995318,large,single,0.1,cosine
,,,,,26730.87565,large,single,0.1,correlation
,,,,,1170.57704,large,single,0.2,Tfunction
,,,,,34381.773683,large,single,0.2,euclidean
,,,,,32352.212074,large,single,0.2,squaredeuclidean
,,,,,28872.640728,large,single,0.2,seuclidean
,,,,,26962.715027,large,single,0.2,cityblock
,,,,,27648.099931,large,single,0.2,chebychev
,,,,,11628.373093,large,single,0.2,cosine
,,,,,12418.657723,large,single,0.2,correlation
,,,,,814.18848,large,single,0.3,Tfunction
,,,,,21960.558684,large,single,0.3,euclidean
,,,,,22191.635,large,single,0.3,squaredeuclidean
,,,,,19228.041238,large,single,0.3,seuclidean
,,,,,21201.394545,large,single,0.3,cityblock
,,,,,21538.571505,large,single,0.3,chebychev
,,,,,7224.820256,large,single,0.3,cosine
,,,,,7624.285927,large,single,0.3,correlation
,,,,,4910.645169,large,double,0.1,Tfunction
,,,,,141650.958336,large,double,0.1,euclidean
