runtime,model,precision,alpha,similarity
484.41318,large,single,0.1,Tfunction
18135.194635,large,single,0.1,euclidean
18100.732982,large,single,0.1,squaredeuclidean
18366.282135,large,single,0.1,seuclidean
18150.387805,large,single,0.1,cityblock
18233.923098,large,single,0.1,chebychev
4504.939594,large,single,0.1,cosine
4670.868398,large,single,0.1,correlation
291.736692,large,single,0.2,Tfunction
8768.466531,large,single,0.2,euclidean
8768.073155,large,single,0.2,squaredeuclidean
8887.081619,large,single,0.2,seuclidean
8772.441126,large,single,0.2,cityblock
8817.815233,large,single,0.2,chebychev
2141.220744,large,single,0.2,cosine
2244.385005,large,single,0.2,correlation
182.814128,large,single,0.3,Tfunction
5641.459819,large,single,0.3,euclidean
5628.371367,large,single,0.3,squaredeuclidean
5698.374474,large,single,0.3,seuclidean
5640.865737,large,single,0.3,cityblock
5663.350808,large,single,0.3,chebychev
1403.317013,large,single,0.3,cosine
1436.077404,large,single,0.3,correlation
959.874414,large,double,0.1,Tfunction
25297.544399,large,double,0.1,euclidean
25303.547898,large,double,0.1,squaredeuclidean
26026.693021,large,double,0.1,seuclidean
25415.656392,large,double,0.1,cityblock
25621.947591,large,double,0.1,chebychev
8824.216058,large,double,0.1,cosine
9241.520808,large,double,0.1,correlation
494.835204,large,double,0.2,Tfunction
12224.516448,large,double,0.2,euclidean
12243.157073,large,double,0.2,squaredeuclidean
12646.594104,large,double,0.2,seuclidean
12302.7877,large,double,0.2,cityblock
12478.074586,large,double,0.2,chebychev
4448.487698,large,double,0.2,cosine
4483.418343,large,double,0.2,correlation
334.843258,large,double,0.3,Tfunction
7906.764037,large,double,0.3,euclidean
7901.712599,large,double,0.3,squaredeuclidean
8129.429091,large,double,0.3,seuclidean
7881.266391,large,double,0.3,cityblock
7962.953956,large,double,0.3,chebychev
2728.52556,large,double,0.3,cosine
2864.4237,large,double,0.3,correlation
134.204606,medium,single,0.1,Tfunction
3346.243661,medium,single,0.1,euclidean
3308.653447,medium,single,0.1,squaredeuclidean
3324.208542,medium,single,0.1,seuclidean
3367.826164,medium,single,0.1,cityblock
3344.738862,medium,single,0.1,chebychev
1017.178462,medium,single,0.1,cosine
1056.133486,medium,single,0.1,correlation
73.926232,medium,single,0.2,Tfunction
1595.839958,medium,single,0.2,euclidean
1616.15728,medium,single,0.2,squaredeuclidean
1584.010373,medium,single,0.2,seuclidean
1650.454908,medium,single,0.2,cityblock
1618.157677,medium,single,0.2,chebychev
489.440722,medium,single,0.2,cosine
489.617989,medium,single,0.2,correlation
53.029222,medium,single,0.3,Tfunction
1043.571553,medium,single,0.3,euclidean
996.622743,medium,single,0.3,squaredeuclidean
1015.191238,medium,single,0.3,seuclidean
1047.120909,medium,single,0.3,cityblock
1059.128055,medium,single,0.3,chebychev
311.683027,medium,single,0.3,cosine
313.308472,medium,single,0.3,correlation
247.50998,medium,double,0.1,Tfunction
4474.471608,medium,double,0.1,euclidean
4423.163219,medium,double,0.1,squaredeuclidean
4536.694876,medium,double,0.1,seuclidean
4515.215986,medium,double,0.1,cityblock
4486.55864,medium,double,0.1,chebychev
2019.72155,medium,double,0.1,cosine
2018.253425,medium,double,0.1,correlation
130.255756,medium,double,0.2,Tfunction
2144.005087,medium,double,0.2,euclidean
2144.776983,medium,double,0.2,squaredeuclidean
2166.290878,medium,double,0.2,seuclidean
2207.755818,medium,double,0.2,cityblock
2173.366818,medium,double,0.2,chebychev
966.788046,medium,double,0.2,cosine
959.203422,medium,double,0.2,correlation
95.421871,medium,double,0.3,Tfunction
1424.201821,medium,double,0.3,euclidean
1330.435728,medium,double,0.3,squaredeuclidean
1385.319134,medium,double,0.3,seuclidean
1394.530843,medium,double,0.3,cityblock
1427.080397,medium,double,0.3,chebychev
637.419275,medium,double,0.3,cosine
608.583965,medium,double,0.3,correlation
0.40186,small,single,0.1,Tfunction
7.047344,small,single,0.1,euclidean
6.912003,small,single,0.1,squaredeuclidean
7.060605,small,single,0.1,seuclidean
6.967666,small,single,0.1,cityblock
7.212611,small,single,0.1,chebychev
2.641633,small,single,0.1,cosine
2.845461,small,single,0.1,correlation
0.193042,small,single,0.2,Tfunction
3.4245,small,single,0.2,euclidean
3.319789,small,single,0.2,squaredeuclidean
3.436214,small,single,0.2,seuclidean
3.431244,small,single,0.2,cityblock
3.48556,small,single,0.2,chebychev
1.301909,small,single,0.2,cosine
1.333088,small,single,0.2,correlation
0.13847,small,single,0.3,Tfunction
2.23441,small,single,0.3,euclidean
2.134678,small,single,0.3,squaredeuclidean
2.209201,small,single,0.3,seuclidean
2.144881,small,single,0.3,cityblock
2.285372,small,single,0.3,chebychev
0.858671,small,single,0.3,cosine
0.890826,small,single,0.3,correlation
0.604316,small,double,0.1,Tfunction
8.040069,small,double,0.1,euclidean
7.923357,small,double,0.1,squaredeuclidean
8.006847,small,double,0.1,seuclidean
7.96219,small,double,0.1,cityblock
8.249334,small,double,0.1,chebychev
3.626081,small,double,0.1,cosine
3.910823,small,double,0.1,correlation
0.316948,small,double,0.2,Tfunction
3.887265,small,double,0.2,euclidean
3.765758,small,double,0.2,squaredeuclidean
3.864983,small,double,0.2,seuclidean
3.90337,small,double,0.2,cityblock
3.980477,small,double,0.2,chebychev
1.811808,small,double,0.2,cosine
1.885458,small,double,0.2,correlation
0.226063,small,double,0.3,Tfunction
2.543579,small,double,0.3,euclidean
2.421125,small,double,0.3,squaredeuclidean
2.481583,small,double,0.3,seuclidean
2.431494,small,double,0.3,cityblock
2.598618,small,double,0.3,chebychev
