runtime,model,precision,alpha,similarity
NaN,large,single,0.1,Tfunction
NaN,large,single,0.1,euclidean
NaN,large,single,0.1,squaredeuclidean
NaN,large,single,0.1,seuclidean
NaN,large,single,0.1,cityblock
NaN,large,single,0.1,chebychev
NaN,large,single,0.1,cosine
NaN,large,single,0.1,correlation
NaN,large,single,0.2,Tfunction
NaN,large,single,0.2,euclidean
NaN,large,single,0.2,squaredeuclidean
NaN,large,single,0.2,seuclidean
NaN,large,single,0.2,cityblock
NaN,large,single,0.2,chebychev
NaN,large,single,0.2,cosine
NaN,large,single,0.2,correlation
NaN,large,single,0.3,Tfunction
NaN,large,single,0.3,euclidean
NaN,large,single,0.3,squaredeuclidean
NaN,large,single,0.3,seuclidean
NaN,large,single,0.3,cityblock
NaN,large,single,0.3,chebychev
NaN,large,single,0.3,cosine
NaN,large,single,0.3,correlation
NaN,large,double,0.1,Tfunction
NaN,large,double,0.1,euclidean
NaN,large,double,0.1,squaredeuclidean
NaN,large,double,0.1,seuclidean
NaN,large,double,0.1,cityblock
NaN,large,double,0.1,chebychev
NaN,large,double,0.1,cosine
NaN,large,double,0.1,correlation
NaN,large,double,0.2,Tfunction
NaN,large,double,0.2,euclidean
NaN,large,double,0.2,squaredeuclidean
NaN,large,double,0.2,seuclidean
NaN,large,double,0.2,cityblock
NaN,large,double,0.2,chebychev
NaN,large,double,0.2,cosine
NaN,large,double,0.2,correlation
NaN,large,double,0.3,Tfunction
NaN,large,double,0.3,euclidean
NaN,large,double,0.3,squaredeuclidean
NaN,large,double,0.3,seuclidean
NaN,large,double,0.3,cityblock
NaN,large,double,0.3,chebychev
NaN,large,double,0.3,cosine
NaN,large,double,0.3,correlation
12.411959,medium,single,0.1,Tfunction
419.506621,medium,single,0.1,euclidean
413.156295,medium,single,0.1,squaredeuclidean
429.135722,medium,single,0.1,seuclidean
419.849962,medium,single,0.1,cityblock
414.498854,medium,single,0.1,chebychev
365.711512,medium,single,0.1,cosine
1193.06724,medium,single,0.1,correlation
7.557303,medium,single,0.2,Tfunction
198.648855,medium,single,0.2,euclidean
199.51668,medium,single,0.2,squaredeuclidean
203.122364,medium,single,0.2,seuclidean
204.765005,medium,single,0.2,cityblock
200.55225,medium,single,0.2,chebychev
175.913365,medium,single,0.2,cosine
561.375499,medium,single,0.2,correlation
6.096059,medium,single,0.3,Tfunction
128.845598,medium,single,0.3,euclidean
124.028938,medium,single,0.3,squaredeuclidean
129.874742,medium,single,0.3,seuclidean
129.291023,medium,single,0.3,cityblock
129.417055,medium,single,0.3,chebychev
111.832015,medium,single,0.3,cosine
357.593278,medium,single,0.3,correlation
NaN,medium,double,0.1,Tfunction
NaN,medium,double,0.1,euclidean
NaN,medium,double,0.1,squaredeuclidean
NaN,medium,double,0.1,seuclidean
NaN,medium,double,0.1,cityblock
NaN,medium,double,0.1,chebychev
NaN,medium,double,0.1,cosine
NaN,medium,double,0.1,correlation
NaN,medium,double,0.2,Tfunction
NaN,medium,double,0.2,euclidean
NaN,medium,double,0.2,squaredeuclidean
NaN,medium,double,0.2,seuclidean
NaN,medium,double,0.2,cityblock
NaN,medium,double,0.2,chebychev
NaN,medium,double,0.2,cosine
NaN,medium,double,0.2,correlation
NaN,medium,double,0.3,Tfunction
NaN,medium,double,0.3,euclidean
NaN,medium,double,0.3,squaredeuclidean
NaN,medium,double,0.3,seuclidean
NaN,medium,double,0.3,cityblock
NaN,medium,double,0.3,chebychev
NaN,medium,double,0.3,cosine
NaN,medium,double,0.3,correlation
0.627846,small,single,0.1,Tfunction
0.894827,small,single,0.1,euclidean
0.936064,small,single,0.1,squaredeuclidean
1.345932,small,single,0.1,seuclidean
0.936009,small,single,0.1,cityblock
0.946482,small,single,0.1,chebychev
1.470708,small,single,0.1,cosine
1.617754,small,single,0.1,correlation
0.547275,small,single,0.2,Tfunction
0.523995,small,single,0.2,euclidean
0.515728,small,single,0.2,squaredeuclidean
0.702143,small,single,0.2,seuclidean
0.477596,small,single,0.2,cityblock
0.525703,small,single,0.2,chebychev
0.909429,small,single,0.2,cosine
0.971979,small,single,0.2,correlation
0.529329,small,single,0.3,Tfunction
0.389727,small,single,0.3,euclidean
0.376904,small,single,0.3,squaredeuclidean
0.4541,small,single,0.3,seuclidean
0.387284,small,single,0.3,cityblock
0.389747,small,single,0.3,chebychev
0.722086,small,single,0.3,cosine
0.709563,small,single,0.3,correlation
0.586172,small,double,0.1,Tfunction
0.970445,small,double,0.1,euclidean
0.959168,small,double,0.1,squaredeuclidean
1.394931,small,double,0.1,seuclidean
0.961936,small,double,0.1,cityblock
0.975167,small,double,0.1,chebychev
1.480074,small,double,0.1,cosine
1.552957,small,double,0.1,correlation
0.508515,small,double,0.2,Tfunction
0.488561,small,double,0.2,euclidean
0.523621,small,double,0.2,squaredeuclidean
0.748243,small,double,0.2,seuclidean
0.487113,small,double,0.2,cityblock
0.538988,small,double,0.2,chebychev
0.833571,small,double,0.2,cosine
0.893298,small,double,0.2,correlation
0.482821,small,double,0.3,Tfunction
0.346677,small,double,0.3,euclidean
0.385164,small,double,0.3,squaredeuclidean
0.528856,small,double,0.3,seuclidean
0.334007,small,double,0.3,cityblock
0.34758,small,double,0.3,chebychev
0.580808,small,double,0.3,cosine
0.675879,small,double,0.3,correlation
