logDiff,model,alpha,similarity
3.70564730928348,large,0.1,Tfunction
6.38885774702986,large,0.1,euclidean
5.95591621606246,large,0.1,squaredeuclidean
6.3843511176724,large,0.1,seuclidean
5.47860588086881,large,0.1,cityblock
6.37936261022487,large,0.1,chebychev
5.83082498890357,large,0.1,cosine
5.09354997242793,large,0.1,correlation
3.70061009408867,large,0.2,Tfunction
6.51469151484389,large,0.2,euclidean
6.12486180533066,large,0.2,squaredeuclidean
6.74653008170279,large,0.2,seuclidean
5.44136044619537,large,0.2,cityblock
6.54535329283489,large,0.2,chebychev
5.76469557427922,large,0.2,cosine
5.09525571511147,large,0.2,correlation
3.63558918444221,large,0.3,Tfunction
6.57748908925141,large,0.3,euclidean
6.35602002054204,large,0.3,squaredeuclidean
6.76136351261346,large,0.3,seuclidean
5.61004603911704,large,0.3,cityblock
6.60384771897834,large,0.3,chebychev
5.60044813661955,large,0.3,cosine
5.08825413010407,large,0.3,correlation
4.32674655345877,medium,0.1,Tfunction
6.36656453661002,medium,0.1,euclidean
6.3820087796439,medium,0.1,squaredeuclidean
6.70324398773127,medium,0.1,seuclidean
6.39215894170409,medium,0.1,cityblock
6.40108486100363,medium,0.1,chebychev
6.1229940554712,medium,0.1,cosine
5.34755037989616,medium,0.1,correlation
4.27640521498043,medium,0.2,Tfunction
6.5362960499167,medium,0.2,euclidean
6.49229086144184,medium,0.2,squaredeuclidean
6.79513162412597,medium,0.2,seuclidean
6.54219908578147,medium,0.2,cityblock
6.55155701214624,medium,0.2,chebychev
6.17265108841485,medium,0.2,cosine
5.37551675559509,medium,0.2,correlation
4.26137322789032,medium,0.3,Tfunction
6.61755335129999,medium,0.3,euclidean
6.54499053436994,medium,0.3,squaredeuclidean
6.66839924957343,medium,0.3,seuclidean
6.61620752776646,medium,0.3,cityblock
6.59778358423296,medium,0.3,chebychev
6.0650928075083,medium,0.3,cosine
5.37537739317407,medium,0.3,correlation
4.41534338933097,small,0.1,Tfunction
6.42342031082353,small,0.1,euclidean
6.3853924245268,small,0.1,squaredeuclidean
6.44327638808364,small,0.1,seuclidean
6.43112077068086,small,0.1,cityblock
6.45214494173211,small,0.1,chebychev
6.41424951739615,small,0.1,cosine
5.14773092941627,small,0.1,correlation
4.48341892324773,small,0.2,Tfunction
6.60935163047527,small,0.2,euclidean
6.50490479840731,small,0.2,squaredeuclidean
6.67436984930429,small,0.2,seuclidean
6.60137149485237,small,0.2,cityblock
6.5883903032962,small,0.2,chebychev
6.3445320525512,small,0.2,cosine
5.14983141139266,small,0.2,correlation
4.50680932498821,small,0.3,Tfunction
6.65751928501633,small,0.3,euclidean
6.5547191195354,small,0.3,squaredeuclidean
6.70513932481368,small,0.3,seuclidean
6.67647619180637,small,0.3,cityblock
6.61665783609727,small,0.3,chebychev
6.40196439070475,small,0.3,cosine
5.15339964226555,small,0.3,correlation
